Normalized_ID,Raw_Term,Official_Term_Name,Status,Is_Valid_ID,Cleaned_Term_Used,Frequency_Count,Model,Ontology_Match_Check,Suggested_Error_Type,MANUAL_Is_Real_Term,MANUAL_Present_In_Note,MANUAL_Error_Type
HP:0002650,Scoliosis,Scoliosis,Exact Match,True,Scoliosis,10,sim1,True,None,True,,
HP:0000219,Thin upper lip vermilion,Thin upper lip vermilion,Exact Match,True,Thin upper lip vermilion,10,sim1,True,None,True,,
HP:0001263,Global developmental delay,Global developmental delay,Exact Match,True,Global developmental delay,10,sim1,True,None,True,,
HP:0002673,Coxa valga,Coxa valga,Exact Match,True,Coxa valga,9,sim1,True,None,True,,
HP:0000218,High palate,High palate,Exact Match,True,High palate,9,sim1,True,None,True,,
HP:0005280,Depressed nasal bridge,Depressed nasal bridge,Exact Match,True,Depressed nasal bridge,9,sim1,True,None,True,,
HP:0000750,Delayed speech and language development,Delayed speech and language development,Exact Match,True,Delayed speech and language development,9,sim1,True,None,True,,
HP:0002119,Ventriculomegaly,Ventriculomegaly,Exact Match,True,Ventriculomegaly,9,sim1,True,None,True,,
HP:0012450,Chronic constipation,Chronic constipation,Exact Match,True,Chronic constipation,9,sim1,True,None,True,,
HP:0002857,Genu valgum,Genu valgum,Exact Match,True,Genu valgum,9,sim1,True,None,True,,
HP:0000483,Astigmatism,Astigmatism,Exact Match,True,Astigmatism,9,sim1,True,None,True,,
HP:0000695,Natal tooth,Natal tooth,Exact Match,True,Natal tooth,9,sim1,True,None,True,,
HP:0002944,Thoracolumbar scoliosis,Thoracolumbar scoliosis,Exact Match,True,Thoracolumbar scoliosis,8,sim1,True,None,True,,
HP:0001891,Iron deficiency anemia,Iron deficiency anemia,Exact Match,True,Iron deficiency anemia,8,sim1,True,None,True,,
HP:0003396,Syringomyelia,Syringomyelia,Exact Match,True,Syringomyelia,8,sim1,True,None,True,,
HP:0001518,Small for gestational age,Small for gestational age,Exact Match,True,Small for gestational age,8,sim1,True,None,True,,
HP:0001270,Motor delay,Motor delay,Exact Match,True,Motor delay,8,sim1,True,None,True,,
HP:0007099,Chiari type I malformation,Chiari type I malformation,Exact Match,True,Chiari type I malformation,7,sim1,True,None,True,,
HP:0002194,Delayed gross motor development,Delayed gross motor development,Exact Match,True,Delayed gross motor development,7,sim1,True,None,True,,
HP:0002312,Clumsiness,Clumsiness,Exact Match,True,Clumsiness,7,sim1,True,None,True,,
HP:0001385,Hip dysplasia,Hip dysplasia,Exact Match,True,Hip dysplasia,7,sim1,True,None,True,,
HP:0001622,Premature birth,Premature birth,Exact Match,True,Premature birth,7,sim1,True,None,True,,
HP:0001518,Low birth weight,Small for gestational age,Synonym,True,Low birth weight,6,sim1,True,None,True,,
HP:0002816,Leg length inequality,Genu recurvatum,Name Mismatch,True,Leg length inequality,6,sim1,False,Check Mapping,False,,
HP:0031936,Delayed ability to walk,Delayed ability to walk,Exact Match,True,Delayed ability to walk,6,sim1,True,None,True,,
HP:0100559,Lower limb asymmetry,Lower limb asymmetry,Exact Match,True,Lower limb asymmetry,5,sim1,True,None,True,,
HP:0002019,Constipation,Constipation,Exact Match,True,Constipation,5,sim1,True,None,True,,
HP:0001344,Absent speech,Absent speech,Exact Match,True,Absent speech,5,sim1,True,None,True,,
HP:0008458,Progressive congenital scoliosis,Progressive congenital scoliosis,Exact Match,True,Progressive congenital scoliosis,5,sim1,True,None,True,,
HP:0002098,Respiratory distress,Respiratory distress,Exact Match,True,Respiratory distress,5,sim1,True,None,True,,
